Species.Name,Location,Latitude,Longitude,Genus
Digitipes barnabasi,"Bopdev ghat, Pune district, Maharashtra, India",18.4189,73.9068,Digitipes
Digitipes barnabasi,"Castle-rock, Uttara Kannada district, Karnatka, India",15.3698,74.3063,Digitipes
Digitipes barnabasi,"Kumta, Uttara Kannada district, Karnataka, India",14.52567,74.60246,Digitipes
Digitipes barnabasi,"Dughsagar Water Falls, Goa-Karnataka border, India",15.3868,74.3192,Digitipes
Digitipes barnabasi,"Pune district, Maharashtra, India",18.41033,73.89848,Digitipes
Digitipes barnabasi,"Pune district, Maharashtra, India",18.41448,73.90362,Digitipes
Digitipes barnabasi,"Bombay point, Mahabaleshwar Reserve Forest, Satara district, Maharashtra, India",17.91572,73.6363,Digitipes
Digitipes barnabasi,"Amboli, Sindhudurg district, Maharashtra, India",15.95936,73.99971,Digitipes
Digitipes barnabasi,"Amboli, Sindhudurg district, Maharashtra, India",15.96171,74.00206,Digitipes
Digitipes barnabasi,"Talacauvery, Kodagu district, Karnataka, India",12.4055,75.51992,Digitipes
Digitipes barnabasi,"Bhimashankar, Pune district, Maharashtra, India",19.06325,73.53964,Digitipes
Digitipes barnabasi,"Bhimashankar, Pune district, Maharashtra, India",19.07772,73.55047,Digitipes
Digitipes barnabasi,"Bhimashankar, Pune district, Maharashtra, India",19.13194,73.57083,Digitipes
Digitipes barnabasi,"Bhimashankar, Pune district, Maharashtra, India",19.13214,73.57061,Digitipes
Digitipes barnabasi,"Bhimashankar, Pune district, Maharashtra, India",19.1323,73.57014,Digitipes
Digitipes barnabasi,"Devmali, Koraput district, Odisha, India",18.66,82.99,Digitipes
Digitipes barnabasi,"Sakaleshapur, Hassan district, Karnataka, India",12.813311,75.642791,Digitipes
Digitipes barnabasi,"Mulshi, Pune district, Maharashtra, India",18.4916,73.5173,Digitipes
Digitipes barnabasi - 2,"Silent Valley National Park, Palakkad district, Kerala, India ",11.20894,76.44114,Digitipes
Digitipes barnabasi - 2,"Parakkadavu, Shendurney Wildlife Sanctuary, Kollam district, Kerala, India",8.86194,77.17951,Digitipes
Digitipes barnabasi - 2,"Kurinjal, Kudremukh National Park, Chikkamagaluru district, India",13.20076,75.19249,Digitipes
Digitipes barnabasi - 2,"Talacauvery, Kodagu district, Karnataka, India",12.4055,75.51992,Digitipes
Digitipes barnabasi - 2,"Pasikada, Aachankovil Reserve Forest, Kollam district, Kerala, India",9.07171,77.19156,Digitipes
Digitipes barnabasi - 2,"Kodagu district, Karnataka, India",12.3889,75.49,Digitipes
Digitipes barnabasi - 3,"Periyar Tiger Reserve, Kerala, India",9.5755,77.33617,Digitipes
